fold,seed,f1,precision,recall,accuracy,n,n_pos,best_val_f1
0,13,0.0,0.0,0.0,1.0,20,0,0.0
1,13,0.0,0.0,0.0,0.9,20,2,0.0
2,13,0.0,0.0,0.0,0.95,20,1,0.0
3,13,0.0,0.0,0.0,0.8571428571428571,21,3,0.0
4,13,0.0,0.0,0.0,0.8947368421052632,19,2,0.0
