fold,seed,f1,precision,recall,accuracy,n,n_pos,best_val_f1
0,13,0.0,0.0,0.0,0.0,20,0,0.0
1,13,0.0,0.0,0.0,0.9,20,2,0.0
2,13,0.09523809523809523,0.05,1.0,0.05,20,1,0.0
3,13,0.25,0.14285714285714285,1.0,0.14285714285714285,21,3,0.0
4,13,0.0,0.0,0.0,0.8947368421052632,19,2,0.0
