label_authority,claims_validated,fold,seed,f1,precision,recall,accuracy,n,n_pos,f1_tuned,precision_tuned,recall_tuned,accuracy_tuned,threshold,temperature,auprc,auroc,ece,ece_cal,best_val_f1,val_f1_tuned,best_epoch,epochs_run,train_sec
llm_ensemble,False,0,13,0.3653663177925785,0.26301369863013696,0.5981308411214953,0.777740753082306,3001,321,0.36644165863066536,0.26536312849162014,0.5919003115264797,0.7810729756747751,0.51,1.4142135623730947,0.3025159527360929,0.7795089970707212,0.1573187004895375,0.18314700066076386,0.324455205811138,0.3325062034739454,4,7,418.4
llm_ensemble,False,1,13,0.3616133518776078,0.3258145363408521,0.40625,0.847,3000,320,0.35989717223650386,0.3056768558951965,0.4375,0.834,0.44,1.4142135623730947,0.31510628015094927,0.7931302472014925,0.08959738367047006,0.0964250153499289,0.3581081081081081,0.3682539682539683,4,7,417.6
llm_ensemble,False,2,13,0.3983402489626556,0.2986003110419907,0.5981308411214953,0.8066666666666666,3000,321,0.4055766793409379,0.3418803418803419,0.4984423676012461,0.8436666666666667,0.61,1.0,0.3265630164076726,0.7995386989379726,0.18862854576483368,0.18862854563344988,0.37220843672456577,0.3873015873015873,3,6,358.1
llm_ensemble,False,3,13,0.373134328358209,0.3561253561253561,0.39184952978056425,0.86,3000,319,0.3617021276595745,0.35103244837758113,0.3730407523510972,0.86,0.53,2.378414230005442,0.3298475421781524,0.7635906454219229,0.11118719458599541,0.07566320807099162,0.40397350993377484,0.4135593220338983,7,10,585.5
llm_ensemble,False,4,13,0.28308823529411764,0.34375,0.240625,0.8699566522174058,2999,320,0.2813102119460501,0.36683417085427134,0.228125,0.8756252084028009,0.65,2.996614153753363,0.3045269537156807,0.782424062150056,0.10984073241654438,0.03649311030281341,0.39662447257383965,0.41964285714285715,7,10,585.8
