label_authority,claims_validated,fold,seed,f1,precision,recall,accuracy,n,n_pos,f1_tuned,precision_tuned,recall_tuned,accuracy_tuned,threshold,temperature,auprc,auroc,ece,ece_cal,best_val_f1,val_f1_tuned,best_epoch,epochs_run,train_sec
llm_ensemble,False,0,13,0.3691931540342298,0.3038229376257545,0.470404984423676,0.8280573142285905,3001,321,0.33277310924369746,0.3613138686131387,0.308411214953271,0.8677107630789737,0.6900000000000001,1.189207115002721,0.2888048097098679,0.7613619984191193,0.11970237723103795,0.11943111608833783,0.3685800604229607,0.38181818181818183,4,7,1270.7
llm_ensemble,False,1,13,0.35604395604395606,0.2745762711864407,0.50625,0.8046666666666666,3000,320,0.3634703196347032,0.2567741935483871,0.621875,0.7676666666666667,0.41000000000000003,1.0,0.2998589603225477,0.7834555736940298,0.17252355939607755,0.17252355858714302,0.37532133676092544,0.3873684210526316,3,6,1088.1
llm_ensemble,False,2,13,0.38493723849372385,0.28976377952755905,0.573208722741433,0.804,3000,321,0.3972602739726027,0.31351351351351353,0.5420560747663551,0.824,0.55,1.2599210498948732,0.33033966154114713,0.8017975275565463,0.13993617736369682,0.1582702699047701,0.3776595744680851,0.3988439306358382,3,6,1086.4
llm_ensemble,False,3,13,0.3711843711843712,0.304,0.47648902821316613,0.8283333333333334,3000,319,0.37017994858611825,0.3137254901960784,0.45141065830721006,0.8366666666666667,0.52,0.6299605249474366,0.3388974082860822,0.7901773656252814,0.15928146910294888,0.10851165134325566,0.3942857142857143,0.41846153846153844,2,5,904.7
llm_ensemble,False,4,13,0.35665294924554186,0.31784841075794623,0.40625,0.8436145381793931,2999,320,0.3595206391478029,0.31322505800464034,0.421875,0.8396132044014671,0.48000000000000004,1.3348398541700341,0.31438017760757986,0.7700109649122806,0.09992625102206962,0.09228086495743203,0.39864864864864863,0.40522875816993464,4,7,1249.9
