label_authority,claims_validated,fold,seed,f1,precision,recall,accuracy,n,n_pos,f1_tuned,precision_tuned,recall_tuned,accuracy_tuned,threshold,temperature,auprc,auroc,ece,ece_cal,best_val_f1,val_f1_tuned,best_epoch,epochs_run,train_sec
llm_ensemble,False,0,13,0.3693877551020408,0.2746585735963581,0.5638629283489096,0.7940686437854049,3001,321,0.36415362731152207,0.33507853403141363,0.3987538940809969,0.8510496501166278,0.7000000000000001,1.4142135623730947,0.3281133548495484,0.7789777746780118,0.14641719054341812,0.17149366405013403,0.328125,0.3602941176470588,4,7,288.7
llm_ensemble,False,1,13,0.37094281298299847,0.3669724770642202,0.375,0.8643333333333333,3000,320,0.3701578192252511,0.3421750663129973,0.403125,0.8536666666666667,0.45,1.4983070768766815,0.34913112699453774,0.8068703358208955,0.07459313128906069,0.06963076084685951,0.38345864661654133,0.40569395017793597,4,7,288.0
llm_ensemble,False,2,13,0.2948717948717949,0.18563357546408393,0.7165109034267912,0.6333333333333333,3000,321,0.30605738575983,0.23225806451612904,0.4485981308411215,0.7823333333333333,0.5900000000000001,7.999999999999998,0.22973369322325718,0.7352745886722507,0.40932626000046735,0.3954524285614214,0.29705882352941176,0.3258145363408521,1,4,166.8
llm_ensemble,False,3,13,0.379436964504284,0.3112449799196787,0.48589341692789967,0.831,3000,319,0.37518463810930575,0.3547486033519553,0.3981191222570533,0.859,0.5700000000000001,0.7491535384383406,0.3412035255893821,0.7963002154953178,0.14306528565411764,0.11160915903184701,0.3791208791208791,0.41216216216216217,2,5,204.5
llm_ensemble,False,4,13,0.3486529318541997,0.3536977491961415,0.34375,0.8629543181060353,2999,320,0.2763915547024952,0.3582089552238806,0.225,0.8742914304768256,0.87,2.5198420997897464,0.2924969785038048,0.756536954087346,0.11011264429322229,0.0786262120382343,0.3484848484848485,0.36893203883495146,7,10,405.3
