pair,decision,delta_f1,ci95_lo,ci95_hi,boot_p,randomization_p,mcnemar_p,discordant_a_only,discordant_b_only
8_full-1_baseline,pred_tuned,-0.0017371625236654031,-0.011761411839297064,0.007819921047565062,0.744,0.7412587412587412,0.8536714886811044,2477,2491
8_full-1_baseline,pred,-0.005763576565385564,-0.015166976756271192,0.0039677755270021335,0.234,0.23476523476523475,3.919497372900075e-43,2318,3353
2_conv-1_baseline,pred_tuned,0.0247002795854826,0.005237219366618832,0.04386429245613233,0.01,0.008991008991008992,0.0276431973123426,900,808
3_temp-1_baseline,pred_tuned,0.021672288211928625,0.003931242622975962,0.039082232036396145,0.008,0.01898101898101898,0.0639469724430836,903,825
4_ret-1_baseline,pred_tuned,0.020558227684554786,0.0005458750834101253,0.04112460730392823,0.05,0.03796203796203796,0.8325602172466458,901,911
5_conv_temp-1_baseline,pred_tuned,0.01357656373640126,0.0032327965210203146,0.023801991937145734,0.008,0.008991008991008992,0.022713626037092736,2386,2547
6_conv_ret-1_baseline,pred_tuned,0.03290523538172618,0.015228545996383111,0.051405626242854136,0.0,0.002997002997002997,1.2842472801389145e-13,1235,893
7_temp_ret-1_baseline,pred_tuned,0.019857281496048762,0.002278811138273209,0.03966193880655211,0.02,0.04995004995004995,1.0620752671768306e-07,1133,893
